name,company,city,state,country,address,lat,lng,geocode_method
Cluj-Napoca,GTS Telecom SRL,Cluj-Napoca,,Romania,Str. Garii nr. 21 400267 Cluj-Napoca Romania,46.7871608,23.5919947,address
Karlsruhe,"1&1 Internet, Inc.",Karlsruhe,,Germany,Brauerstraße 48 76135 Karlsruhe Germany,49.0041997,8.3864728,address
1 Brick Lane,Interoute,London,,United Kingdom,1 Brick Ln E1 6PU London UK,51.5074456,-0.1277653,city
1 Foxboro Rd,Digital Realty Trust,Redhill,,United Kingdom,1 Foxboro Rd RH1 1TD Redhill UK,51.2404691,-0.1682816,city
1 Greenwich View Place,CBRE,London,,United Kingdom,1 Greenwich View E14 9NN London UK,51.5074456,-0.1277653,city
1  Camberley,Sentrum,Camberley,,United Kingdom,Stanhope Road GU15 3DW Camberley United Kingdom,51.3392845,-0.7460981,city
10 Rue des Freres Peugeot,Zayo Group LLC,Balma,,France,10 Rue des Freres Peugeot ZI Vidailhan 31130 Balma France,43.6096587,1.4980089,city
1000 Eskdale Rd,Cyxtera,Eskdale,,United Kingdom,1000 Eskdale Rd RG41 Wokingham UK,54.4118141,-3.2509428,city
14 - Green Co,Green Colo Ltd,Fareham,,United Kingdom,Brunel Way PO15 5TX Fareham UK,50.8526637,-1.1783134,city
143 Rue Emile Julien,Zayo Group LLC,Montpellier,,France,143 Rue Emile Julien 34070 Montpellier France,43.6112422,3.8767337,city
16 Avenue De LÉurope,Zayo Group LLC,Bois-Colombes,,France,16 Avenue de l'Europe 92270 Bois-Colombes France,48.9148269,2.2674892,city
19/21 Rue Poissonnière,Zayo Group LLC,Paris,,France,19/21 Rue Poissonnière 75002 Paris France,48.8534951,2.3483915,city
2 Foxboro Rd,Digital Realty Trust,Redhill,,United Kingdom,2 Foxboro Rd RH1 1TD Redhill UK,51.2404691,-0.1682816,city
2  Sutton,Sentrum,Croydon,,United Kingdom,"Unit B, Greenland Way, Beddington Lane CR0 4TD Croydon United Kingdom",51.3713049,-0.101957,city
215 Marsh Wall,Digital Realty Trust,London,,United Kingdom,"Memaco House, Meridian Gate, 215 Marsh Wall E14 9FJ London United Kingdom",51.5074456,-0.1277653,city
227 Marsh Wall,Digital Realty Trust,London,,United Kingdom,"Sovereign House, 227 Marsh Wall E14 9SD London United Kingdom",51.5074456,-0.1277653,city
"3 Harbor View, Philipsburg",Open Caribbean Internet eXchange (OCIX),Antilles,,Netherlands,"Falcon Drive 3, Harbor View Corporate Park Sint Maarten Netherlands Antilles",,,failed
3 Waxlow Road,Options Technology,London,,United Kingdom,3 Waxlow Road NW10 7NU London United Kingdom,51.5074456,-0.1277653,city
31 Great Sutton Street,Volta,London,,United Kingdom,36-43 Great Sutton Street EC1V 0AB London United Kingdom,51.5074456,-0.1277653,city
47 Milharbour,Digital Realty Trust,London,,United Kingdom,"Bonnington House, Millharbour 47 E14 9TR London United Kingdom",51.5074456,-0.1277653,city
55-71 City Rd,Digital Realty Trust,London,,United Kingdom,City Road 55 EC1Y 1HQ London United Kingdom,51.5074456,-0.1277653,city
6 Boulevard de la Liberation,Ad Valem Technologies,Saint-Denis,,France,6 Boulevard de la Liberation Saint-Denis France,48.9278447,2.3411511,address
6 Greenwich View,Cyxtera,London,,United Kingdom,6 Greenwich View E14 9NN London UK,51.5074456,-0.1277653,city
71 Av André Roussin,Jaguar Network SAS,Marseille,,France,71 Av André Roussin 13321 Marseille France,43.2963986,5.3777888,city
78 Blvd du Sablier,Orange,Marseille,,France,"78 Blvd du Sablier, Bonneveine Marseille France",43.2963986,5.3777888,city
93 rue Felix Pyat,Orange,Marseille,,France,93 rue Felix Pyat Marseille France,43.3162499,5.3740454,address
Aagtdorp,Essent,Aagtdorp,,Netherlands,"Bergen, Schoorl Aagtdorp Netherlands",52.6890619,4.7038825,city
Aalsmeer,Getronics,Aalsmeer,,Netherlands,Lakenblekerstraat 13 1431 GE Aalsmeer Netherlands,52.2669442,4.7493384,city
Aalsmeer,KPN International,Aalsmeer,,Netherlands,Lakenblekerstraat 13 1431 GE Aalsmeer Netherlands,52.2669442,4.7493384,city
Aberdeen,Brightsolid,Aberdeen,,United Kingdom,Lang Stracht Aberdeen United Kingdom,57.1517808,-2.1522761,address
Accelerated FRA4,Accelerated IT Services GmbH,Main,,Germany,Kruppstraße 105 DE-60388 Frankfurt am Main Germany,,,failed
"Acero 30-32, Barcelona",Schneider Electric,Barcelona,,Spain,Acero 30-32 8014 Barcelona Spain,41.3832518,2.1823366,address
adeoDC,adeoDC,Albertslund,,Denmark,Herstedvang 8 2620 Albertslund Denmark,55.666803,12.3676374,address
ADITU IZARBEL,ADITU IZARBEL,Bidart,,France,Allee Fauste Elhuyard 64210 Bidart France,43.4391702,-1.5898909,city
Aegis One,Aegis Data,Goldalming,,United Kingdom,Catteshall Lane GU7 1LB Goldalming United Kingdom,,,failed
AGIRC ARRCO,AGIRC ARRCO,Bordeaux,,France,Place Ravezies 12 33300 Bordeaux France,44.8659493,-0.5757013,address
AHI33,AHI33,Bordeaux,,France,Cours Balguerie Stuttenberg 50 33300 Bordeaux France,44.856629,-0.5692941,address
Airbus Toulouse,Airbus,Toulouse,,France,Route de Bayonne 316 31300 Toulouse France,43.6084144,1.3894025,address
AirFrance Toulouse,AIR FRANCE,Toulouse,,France,Avenue Maxwell 5 31100 Toulouse France,43.5924333,1.3700467,address
Airwire DC Galway,Airwire,Galway,,Ireland,"Lyrr Building, Phase 3 Galway Ireland",53.2744122,-9.0490601,city
Aix-les-Milles,Acropolis Telecom,Alcalá,,Spain,300 rue Jean de Guiramand 13290 Alcalá de Henares Spain,28.2017836,-16.8280533,city
